"pop","mother","crossID","blocktray","timetosowing","MCseed","nseed","germ2"
"LM","LM24","LM24xhd","T3_1",31,0.864435146443509,2,0
"LM","LM25","LM25sld","T1_1",47,0.864435146443509,2,0
"LM","LM25","LM25shd","T8_1",53,2.26443514644351,2,0
"LM","LM25","LM25xld","T2_1",46,-0.835564853556487,2,0
"LM","LM25","LM25xhd","T2_1",44,1.06443514644351,2,0
"LM","LM26","LM26sld","T1_1",70,-0.53556485355649,2,0
"LM","LM26","LM26shd","T4_1",76,1.96443514644351,2,0
"LM","LM26","LM26xld","T9_1",26,-0.335564853556487,2,0
"LM","LM26","LM26xhd","T2_1",45,1.66443514644351,2,0
"LM","LM27","LM27sld","T2_1",65,-3.93556485355649,2,0
"LM","LM27","LM27shd","T5_1",79,1.66443514644351,2,0
"LM","LM27","LM27xld","T3_1",74,1.36443514644351,2,0
"LM","LM27","LM27xhd","T8_1",53,1.66443514644351,2,0
"LM","LM28","LM28sld","T6_1",57,-1.93556485355649,2,0
"LM","LM28","LM28shd","T4_1",60,-2.73556485355649,2,0
"LM","LM28","LM28xld","T6_1",45,-3.13556485355649,2,0
"LM","LM28","LM28xhd","T6_1",57,-2.63556485355649,2,0
"LM","LM29","LM29sld","T7_1",37,0.46443514644351,2,0
"LM","LM29","LM29shd","T8_1",55,2.56443514644351,2,0
"LM","LM29","LM29xld","T8_1",37,1.76443514644351,2,0
"LM","LM29","LM29xhd","T8_1",19,-3.03556485355649,2,0
"LM","LM30","LM30sld","T8_1",69,-3.33556485355649,2,0
"LM","LM30","LM30shd","T7_1",47,-7.33556485355649,2,0
"LM","LM30","LM30xld","T7_1",64,-0.135564853556491,2,0
"LM","LM30","LM30xhd","T6_1",48,-1.63556485355649,2,0
"PM","PM1","PM1sld","T9_1",69,3.41589958158995,2,0
"PM","PM1","PM1shd","T9_1",84,3.11589958158996,2,1
"PM","PM1","PM1xld","T4_1",73,3.91589958158995,2,0
"PM","PM1","PM1xhd","T3_1",60,6.31589958158996,2,0
"PM","PM2","PM2sld","T6_1",67,-1.18410041841004,2,0
"PM","PM2","PM2shd","T4_1",72,-0.584100418410045,2,0.5
"PM","PM2","PM2xld","T3_1",49,2.41589958158995,2,0
"PM","PM2","PM2xhd","T7_1",45,0.615899581589957,2,0
"PM","PM3","PM3sld","T6_1",61,3.01589958158996,2,0
"PM","PM3","PM3shd","T1_1",71,3.51589958158996,2,0
"PM","PM3","PM3xld","T4_1",44,3.61589958158996,2,0
"PM","PM3","PM3xhd","T1_1",45,2.71589958158996,2,0
"PM","PM4","PM4sld","T9_1",74,-3.48410041841004,2,0
"PM","PM4","PM4shd","T2_1",53,-1.08410041841005,2,0
"PM","PM4","PM4xld","T8_1",71,-0.584100418410045,2,0.5
"PM","PM4","PM4xhd","T6_1",43,-0.18410041841004,2,0
"PM","PM5","PM5sld","T5_1",74,1.41589958158995,2,0
"PM","PM5","PM5shd","T5_1",74,0.615899581589957,2,0
"PM","PM5","PM5xld","T7_1",53,2.21589958158996,2,0
"PM","PM5","PM5xhd","T6_1",24,-5.08410041841005,2,0
"PM","PM6","PM6sld","T4_1",72,-6.08410041841005,2,0
